observed_on,latitude,longitude,common_name,,,,,,,,,,,,,,
1/31/2012,44.38318236,-110.9340236,North American River Otter,,,,{position: {,lat:,44.38318236,",lng:",-110.9340236,"},","species:""",North American River Otter,""", date:""",1/31/2012,"""},"
3/14/2012,44.55561987,-110.8690054,North American River Otter,,,,{position: {,lat:,44.55561987,",lng:",-110.8690054,"},","species:""",North American River Otter,""", date:""",3/14/2012,"""},"
4/5/2022,43.734092,-110.4706104,North American River Otter,,,,{position: {,lat:,43.734092,",lng:",-110.4706104,"},","species:""",North American River Otter,""", date:""",4/5/2022,"""},"
6/1/2013,44.93508322,-110.1995198,North American River Otter,,,,{position: {,lat:,44.93508322,",lng:",-110.1995198,"},","species:""",North American River Otter,""", date:""",6/1/2013,"""},"
8/9/2022,43.82523124,-110.5919695,North American River Otter,,,,{position: {,lat:,43.82523124,",lng:",-110.5919695,"},","species:""",North American River Otter,""", date:""",8/9/2022,"""},"
12/31/2012,44.99273635,-110.7099187,North American River Otter,,,,{position: {,lat:,44.99273635,",lng:",-110.7099187,"},","species:""",North American River Otter,""", date:""",12/31/2012,"""},"
8/21/2021,44.4432326,-110.4788601,North American River Otter,,,,{position: {,lat:,44.4432326,",lng:",-110.4788601,"},","species:""",North American River Otter,""", date:""",8/21/2021,"""},"
9/13/2022,44.56562535,-110.3387711,North American River Otter,,,,{position: {,lat:,44.56562535,",lng:",-110.3387711,"},","species:""",North American River Otter,""", date:""",9/13/2022,"""},"
10/7/2022,43.8617073,-110.490644,North American River Otter,,,,{position: {,lat:,43.8617073,",lng:",-110.490644,"},","species:""",North American River Otter,""", date:""",10/7/2022,"""},"
10/8/2022,44.76947106,-110.413149,North American River Otter,,,,{position: {,lat:,44.76947106,",lng:",-110.413149,"},","species:""",North American River Otter,""", date:""",10/8/2022,"""},"
10/8/2022,44.51351994,-110.2602454,North American River Otter,,,,{position: {,lat:,44.51351994,",lng:",-110.2602454,"},","species:""",North American River Otter,""", date:""",10/8/2022,"""},"
10/16/2022,44.43573353,-110.3976762,North American River Otter,,,,{position: {,lat:,44.43573353,",lng:",-110.3976762,"},","species:""",North American River Otter,""", date:""",10/16/2022,"""},"
7/18/2010,44.96725514,-110.035297,North American River Otter,,,,{position: {,lat:,44.96725514,",lng:",-110.035297,"},","species:""",North American River Otter,""", date:""",7/18/2010,"""},"
7/10/2012,44.93408866,-110.0854811,North American River Otter,,,,{position: {,lat:,44.93408866,",lng:",-110.0854811,"},","species:""",North American River Otter,""", date:""",7/10/2012,"""},"
5/22/2022,44.86711397,-110.3100156,North American River Otter,,,,{position: {,lat:,44.86711397,",lng:",-110.3100156,"},","species:""",North American River Otter,""", date:""",5/22/2022,"""},"
12/31/2022,44.4947293,-109.608844,North American River Otter,,,,{position: {,lat:,44.4947293,",lng:",-109.608844,"},","species:""",North American River Otter,""", date:""",12/31/2022,"""},"
7/21/2012,44.92927652,-110.1553271,North American River Otter,,,,{position: {,lat:,44.92927652,",lng:",-110.1553271,"},","species:""",North American River Otter,""", date:""",7/21/2012,"""},"
7/22/2010,44.80103193,-110.1894836,North American River Otter,,,,{position: {,lat:,44.80103193,",lng:",-110.1894836,"},","species:""",North American River Otter,""", date:""",7/22/2010,"""},"
1/11/2023,44.79941789,-110.4224688,North American River Otter,,,,{position: {,lat:,44.79941789,",lng:",-110.4224688,"},","species:""",North American River Otter,""", date:""",1/11/2023,"""},"
